latitude,longitude,brightness,acquisition_date,satellite
18.861663446573512,86.61891773847435,290.31,2024-01-05,Terra
35.57071488588757,70.44005898485642,370.26,2024-04-01,Terra
29.227824312530746,72.6872327087438,330.53,2024-06-18,Terra
25.361096041714063,94.0580714672853,362.65,2024-11-12,Suomi-NPP
12.52454057283066,85.58644273012811,312.0,2024-01-22,Suomi-NPP
12.523841089749876,68.26671449688226,369.55,2024-11-21,Aqua
9.684424752877785,70.94267474311494,318.92,2024-01-01,Aqua
33.11910822747312,87.24155130413362,281.08,2024-05-12,Aqua
25.432335340553056,68.14678593154034,370.54,2024-08-20,NOAA-20
28.53410475608532,72.66343349110745,289.13,2024-01-12,Terra
8.59695033457827,83.91327989163099,311.93,2024-12-11,Terra
36.12738571269784,88.0649607330881,375.01,2024-02-15,Aqua
32.140836583212234,86.90687652557541,375.06,2024-02-03,Terra
14.157834209670009,74.50380997435623,337.34,2024-03-18,Aqua
13.272924049005919,88.65319741907854,343.18,2024-08-05,NOAA-20
13.31873078574958,74.8802235374072,324.84,2024-10-27,NOAA-20
16.823025045826594,77.43659124661876,309.32,2024-03-13,Suomi-NPP
23.2179365173349,89.6482507484227,312.87,2024-10-08,NOAA-20
20.526405540621358,86.83935407236922,347.25,2024-09-05,Aqua
16.445645065743214,92.62747890433116,355.24,2024-02-16,NOAA-20
25.743733946949003,87.07077387670995,359.16,2024-04-30,Suomi-NPP
12.045321958909213,84.48094949672867,358.96,2024-08-01,Terra
16.472194807521326,70.71656826701468,289.12,2024-08-26,Aqua
18.62449345551706,78.66375828872357,329.44,2024-02-25,Terra
21.226029542294043,75.69086866277004,285.76,2024-12-15,Suomi-NPP
30.770102880397395,75.07569965799343,334.95,2024-04-16,Suomi-NPP
13.790539682592431,96.21730608782093,324.15,2024-11-14,Suomi-NPP
22.912798713994736,79.39983401533605,368.77,2024-02-17,Terra
25.180022496999232,93.86935010013629,315.09,2024-03-01,Terra
9.347061968879935,86.30302015392063,291.71,2024-12-02,Terra
25.618800705141712,91.0495278027078,294.3,2024-01-26,Terra
12.945199586931455,82.57647570005057,356.15,2024-10-18,Suomi-NPP
9.886496196573106,84.73021265416442,341.82,2024-09-13,Suomi-NPP
35.51768058034666,82.28301312074706,290.11,2024-01-08,Aqua
36.00332895916222,73.6620466461433,288.41,2024-04-22,Aqua
31.443523095377373,88.95111134258366,350.1,2024-12-20,Terra
16.83379930602775,76.14239851078482,287.28,2024-09-09,NOAA-20
10.832491306185133,68.70516302651217,362.19,2024-06-28,NOAA-20
27.84275776885255,86.71869658130787,350.62,2024-07-25,Suomi-NPP
20.76442231844844,73.13620970280442,288.13,2024-10-29,Suomi-NPP
11.539108810498586,95.27329894623452,288.48,2024-05-06,Suomi-NPP
22.360130393226836,95.66392873307504,378.66,2024-02-25,Aqua
8.997267112341333,94.531067316393,317.43,2024-08-01,Aqua
34.37029166028468,78.73460230740788,317.06,2024-01-14,Suomi-NPP
